archive,fold,field,run_00z,phase,class,detail
ICON,fold_2,radiation,2020-11-19,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-20,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-21,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-22,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-24,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-26,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-29,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2021-03-13,warmup,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-06-05,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-06-25,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-07-03,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-07-13,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-07-14,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-07-26,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-01,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-02,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-04,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-05,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-06,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-07,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-09,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-10,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-14,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-15,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-16,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-17,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-19,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-20,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-21,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-22,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-24,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-26,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2020-11-29,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2021-03-13,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2021-08-07,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2021-08-08,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-06-21,warmup,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-06-23,warmup,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-06-26,warmup,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-09-20,evaluation,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-09-21,evaluation,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-09-22,evaluation,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-09-23,evaluation,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-09-24,evaluation,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-09-25,evaluation,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-09-26,evaluation,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,u10,2022-09-27,evaluation,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-06-05,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-06-25,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-07-03,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-07-13,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-07-14,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-07-26,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-01,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-02,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-04,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-05,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-06,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-07,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-09,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-10,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-14,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-15,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-16,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-17,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-19,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-20,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-21,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-22,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-24,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-26,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2020-11-29,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2021-03-13,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2021-08-07,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2021-08-08,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_3,v10,2022-06-21,warmup,ARCHIVE_ABSENCE (run file absent),
