policy,fold,delivery_date,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95
A4,fold_3,2022-09-16,24,1,2022-09-16,2022-09-16,167.55418609389002,189.24519650844775,124.78641586492517,62.39320793246259,164.88454763517288,2.6696384587171167,167.12391108600085,167.1239110860008,78.07363247916021,0,0,0.08333333333333333,2,22,0,56.90202974897761,56.90202974897761,56.90202974897761,0.125,3,21,0,120.31173367777244,120.31173367777245,120.31173367777245,0.2916666666666667,7,17,0,209.04910009192704,209.04910009192707,209.04910009192707
A4,fold_3,2022-09-17,24,1,2022-09-17,2022-09-17,124.51418253618469,162.35965415410232,81.24318332548334,40.62159166274168,127.08574269689414,-2.5715601607094545,124.51418253618469,124.51418253618466,90.420233939603,0,0,0.375,9,15,0,82.57819501184673,82.57819501184673,82.57819501184676,0.5416666666666666,13,11,0,167.32048779196768,167.32048779196765,167.3204877919677,0.6666666666666666,16,8,0,312.82919375236344,312.8291937523635,312.8291937523635
A4,fold_3,2022-09-18,24,1,2022-09-18,2022-09-18,91.00259096246207,122.2428853653492,53.82774382784988,26.91387191392494,88.34542284173288,2.6571681207291875,-32.97414742655162,32.9741474265516,83.96425730775847,0,0,0.5,12,4,8,117.64724037820974,117.64724037820974,117.64724037820974,0.6666666666666666,16,2,6,263.67366763574626,263.67366763574626,263.6736676357463,0.9166666666666666,22,0,2,512.5831221202103,512.5831221202103,512.5831221202104
A4,fold_3,2022-09-19,24,1,2022-09-19,2022-09-19,86.44854153333127,94.37516170336109,43.94239940163779,21.9711997008189,73.32662800586697,13.121913527464292,-83.74510433362566,83.74510433362565,34.63279117223378,0,0,0.3333333333333333,8,0,16,135.06047037642927,135.06047037642924,135.0604703764293,0.9166666666666666,22,0,2,319.78388771975824,319.78388771975824,319.78388771975824,1.0,24,0,0,605.1619324711287,605.1619324711287,605.1619324711287
A4,fold_3,2022-09-20,24,1,2022-09-20,2022-09-20,76.36893977661579,84.41236026045283,40.208676618191,20.1043383090955,64.54683167463372,11.822108101982067,-76.36893977661579,76.36893977661578,29.84985652606785,0,0,0.3333333333333333,8,0,16,128.01320303687626,128.0132030368763,128.0132030368763,1.0,24,0,0,312.85522495623604,312.85522495623604,312.85522495623604,1.0,24,0,0,598.0959778980668,598.0959778980668,598.0959778980668
A4,fold_3,2022-09-21,24,1,2022-09-21,2022-09-21,52.47710786312766,57.889907042636786,31.256021355282883,15.628010677641441,43.42714154269364,9.049966320434018,-47.90487835443074,47.90487835443071,26.189158389900253,0,0,0.625,15,0,9,130.37682964667522,130.37682964667522,130.37682964667522,1.0,24,0,0,305.7874758094823,305.7874758094823,305.7874758094823,1.0,24,0,0,584.1751245287835,584.1751245287835,584.1751245287835
A4,fold_3,2022-09-22,24,1,2022-09-22,2022-09-22,68.60836680725636,78.49887811469132,36.6012852349534,18.3006426174767,61.03062166142183,7.57774514583452,-67.48114865488525,67.4811486548852,31.000647465941057,0,0,0.375,9,0,15,121.06874152371735,121.06874152371734,121.06874152371739,0.9583333333333334,23,0,1,279.4720354680162,279.4720354680162,279.4720354680162,1.0,24,0,0,543.4925338672371,543.4925338672372,543.4925338672372
A4,fold_3,2022-09-23,24,1,2022-09-23,2022-09-23,45.291281410754046,57.172060483647044,30.23809867216578,15.119049336082888,39.36895671542337,5.922324695330673,-35.82169720885481,35.82169720885486,34.34646979300822,0,0,0.75,18,0,6,123.93645290643651,123.9364529064365,123.9364529064365,0.9166666666666666,22,0,2,283.8742161429194,283.8742161429194,283.8742161429194,1.0,24,0,0,554.1804500620706,554.1804500620705,554.1804500620706
A4,fold_3,2022-09-24,24,1,2022-09-24,2022-09-24,98.7565572229095,117.31654092117337,55.43459893383717,27.717299466918586,95.93452092735318,2.822036295556316,-93.36630684632597,93.36630684632593,60.504071189685384,0,0,0.2916666666666667,7,0,17,125.57627828649781,125.57627828649782,125.57627828649782,0.625,15,0,9,281.7488035691155,281.74880356911547,281.7488035691155,1.0,24,0,0,548.8586009685898,548.8586009685898,548.8586009685898
A4,fold_3,2022-09-25,24,1,2022-09-25,2022-09-25,51.59098021594128,61.305888786283994,29.33150053144703,14.665750265723515,51.86673448070629,-0.27575426476500553,-11.09472949628077,11.094729496280763,52.33984734432388,0,0,0.5833333333333334,14,2,8,105.22954436803684,105.22954436803684,105.22954436803684,0.9166666666666666,22,0,2,234.4912633482958,234.49126334829583,234.49126334829586,1.0,24,0,0,454.72498722272604,454.72498722272604,454.7249872227261
A4,fold_3,2022-09-26,24,1,2022-09-26,2022-09-26,90.30946655503773,96.94504934707963,42.87681290745303,21.438406453726518,92.81414006858303,-2.5046735135452955,90.30946655503773,90.30946655503774,27.036225150192035,0,0,0.125,3,21,0,75.40647313886626,75.40647313886626,75.40647313886626,0.5416666666666666,13,11,0,168.19231135667098,168.19231135667096,168.19231135667098,1.0,24,0,0,325.8418113013459,325.8418113013459,325.8418113013459
