scope,candidate,baseline,metric,difference,ci_lower,ci_upper,replicates
fold_5,A1,B3,WIS,-2.8427867323683156,-4.6842491664798525,-1.3206249618610248,2000
fold_5,A2,B0,MAE,-5.658392995160501,-7.6268685146764925,-2.7078041336560683,2000
fold_5,A2,B0,WIS,-3.8215282423820724,-4.888755246579312,-1.9423550358151476,2000
fold_5,A2,B1,MAE,1.7074465527515912,-0.39853718408056515,3.871588937115791,2000
fold_5,A2,B1,WIS,0.6347772441476724,-0.388676990381798,1.7474925017087333,2000
fold_5,A2,B2,MAE,5.695640956606599,2.177012729876876,8.968919927103363,2000
fold_5,A2,B2,WIS,2.5947345255793017,1.1872427235774747,4.000068179804668,2000
fold_5,A2,B3,MAE,-0.538687835712981,-2.3371823261018734,1.3078316112113035,2000
fold_5,A2,B3,WIS,-0.4761080968427258,-1.448326528355813,0.4737582569797716,2000
fold_5,A3,B0,MAE,-9.825686198968203,-13.08101195006167,-5.366261193421949,2000
fold_5,A3,B0,WIS,-5.759902605414812,-7.526987039268995,-3.134051741370218,2000
fold_5,A3,B1,MAE,-2.459846651056111,-4.690395135535822,-0.5194825473335561,2000
fold_5,A3,B1,WIS,-1.303597118885067,-2.7327649402337792,0.01996289873046193,2000
fold_5,A3,B2,MAE,1.5283477527988971,-0.24290483865684415,3.0107930553728632,2000
fold_5,A3,B2,WIS,0.6563601625465623,0.03914644917021119,1.2295431430704937,2000
fold_5,A3,B3,MAE,-4.705981039520683,-6.938284578805272,-2.650073299840975,2000
fold_5,A3,B3,WIS,-2.4144824598754653,-3.899097478857854,-1.2078753054775442,2000
fold_5,A4,B0,MAE,-7.916672610369314,-11.138546712906154,-3.0820834582007213,2000
fold_5,A4,B0,WIS,-4.597498683593246,-6.172782410570806,-1.9706957931894578,2000
fold_5,A4,B1,MAE,-0.5508330624572224,-2.9983622834965926,2.202792699775371,2000
fold_5,A4,B1,WIS,-0.14119319706350097,-1.6564350767606772,1.651058056804123,2000
fold_5,A4,B2,MAE,3.4373613413977857,1.429693504791688,5.400035276168367,2000
