run_00z,delivery_day,archive_span,file_present,file_bytes,path,field_inventory,n_step,missing_chunks,inventory_error,folds
2021-01-21,2021-01-22,inside,True,3272562051,data/2021/1/21/20210121_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-22,2021-01-23,inside,True,3285522372,data/2021/1/22/20210122_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-23,2021-01-24,inside,True,3300127998,data/2021/1/23/20210123_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-24,2021-01-25,inside,True,3309585811,data/2021/1/24/20210124_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-25,2021-01-26,inside,True,3304484301,data/2021/1/25/20210125_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-26,2021-01-27,inside,True,3292843199,data/2021/1/26/20210126_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-27,2021-01-28,inside,True,3289171853,data/2021/1/27/20210127_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-28,2021-01-29,inside,True,3292410482,data/2021/1/28/20210128_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-29,2021-01-30,inside,True,3304401749,data/2021/1/29/20210129_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-30,2021-01-31,inside,True,3295866008,data/2021/1/30/20210130_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-31,2021-02-01,inside,True,3316300067,data/2021/1/31/20210131_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-01,2021-02-02,inside,True,3326679425,data/2021/2/1/20210201_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-02,2021-02-03,inside,True,3333114642,data/2021/2/2/20210202_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-03,2021-02-04,inside,True,3346318768,data/2021/2/3/20210203_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-04,2021-02-05,inside,True,3347303696,data/2021/2/4/20210204_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-05,2021-02-06,inside,True,3337257154,data/2021/2/5/20210205_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-06,2021-02-07,inside,True,3312025657,data/2021/2/6/20210206_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-07,2021-02-08,inside,True,3303046100,data/2021/2/7/20210207_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-08,2021-02-09,inside,True,3287561010,data/2021/2/8/20210208_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-09,2021-02-10,inside,True,3281471427,data/2021/2/9/20210209_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-10,2021-02-11,inside,True,3291329662,data/2021/2/10/20210210_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-11,2021-02-12,inside,True,3291601384,data/2021/2/11/20210211_00.zarr.zip,pass,93,,,fold_2;fold_3
